the_geom,Carshare_C,Site_Reque,On_Street,From_,To,Address,Site_ID,Community,Side,borough,Lat,Long,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29
POINT (-74.0176 40.7084),Getaround,New Site,South End Ave,W Thames St,3rd Pl,"South End Ave, New York, NY 10280",M-G 9,101,W,"Manhattan, NY",40.7084,-74.0176,,,,,,,,,,,,,,,,,
POINT (-74.0163 40.71609),Zipcar,New Site,Murray St,River Ter,North End Ave,"10 River Ter, New York, NY 10282",M-Z 289,101,W,"Manhattan, NY",40.71609,-74.0163,,,,,,,,,,,,,,,,,
POINT (-74.0156 40.71776),Zipcar,New Site,River Ter,Warren St,Chambers St,"34 River Ter, New York, NY 10282",M-Z 288,101,E,"Manhattan, NY",40.71776,-74.0156,,,,,,,,,,,,,,,,,
POINT (-74.0102 40.71818),Zipcar,New Site,Jay St,Staple St,Greenwich St,"21 Jay St, New York, NY 10013",M-Z 291,101,W,"Manhattan, NY",40.71818,-74.0102,,,,,,,,,,,,,,,,,
POINT (-74.0104 40.72274),Getaround,New Site,Washington St,Laight St,Vestry St,"51 Vestry St, New York, NY 10013",M-G 2,101,E,"Manhattan, NY",40.72274,-74.0104,,,,,,,,,,,,,,,,,
POINT (-74.0016 40.72622),Getaround,New Site,Thompson St,W Houston,Prince St,"125 Thompson St, New York, NY 10012",M-G 17,102,W,"Manhattan, NY",40.72622,-74.0016,,,,,,,,,,,,,,,,,
POINT (-74.0036513600964 40.7292817299531),Getaround,New Site,Bedford St,Avenue of the Americas,Downing St,"29 Bedford St, New York, NY 10014",M-G 20,102,W,"Manhattan, NY",40.729282,-74.003651,,,,,,,,,,,,,,,,,
POINT (-73.9993 40.73182),Zipcar,New Site,Washington Pl,Washington Sq W,6th Ave,"32 Washington Sq W, New York, NY 10011",M-Z 282,102,S,"Manhattan, NY",40.73182,-73.9993,,,,,,,,,,,,,,,,,
POINT (-74.0057 40.73585),Getaround,New Site,W 11th St,Bleeker St,Hudson St,"298 West 11th St, New York, NY 10014",M-G 22,102,S,"Manhattan, NY",40.73585,-74.0057,,,,,,,,,,,,,,,,,
POINT (-73.9935 40.73333),Zipcar,New Site,E. 11th St.,5th Ave,University Pl,"32 East 11th St, New York, NY 10003",M-Z 582,102,S,"Manhattan, NY",40.73333,-73.9935,,,,,,,,,,,,,,,,,
POINT (-73.9808 40.71151),Getaround,New Site,Water St,Gouverneur Slip E,Jackson St,"683 Water St, New York, NY 10002",M-G 23,103,S,"Manhattan, NY",40.71151,-73.9808,,,,,,,,,,,,,,,,,
POINT (-73.9868 40.7158),Getaround,New Site,Clinton St,East Broadway,Grand St,"411 Grand Street, New York, NY 10002",M-G 26,103,E,"Manhattan, NY",40.7158,-73.9868,,,,,,,,,,,,,,,,,
POINT (-73.9907 40.72087),Zipcar,New Site,Eldridge St,Rivington St,Forsyth St,"52 Rivington St, New York, NY 10002",M-Z 284,103,E,"Manhattan, NY",40.72087,-73.9907,,,,,,,,,,,,,,,,,
POINT (-73.9929 40.72273),Getaround,New Site,Stanton St,Bowery,Chrystie St,"245 Bowery, New York, NY 10002",M-G 27,103,S,"Manhattan, NY",40.72273,-73.9929,,,,,,,,,,,,,,,,,
