ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location
1706,1263125,Active,103732,,,,Manhattan,,,,,40.7672,-73.9568,996221.70537536,218788.73274785,POINT (-73.9568 40.7672)
4345,3753008,Active,342845,,,,Brooklyn,,,,,40.7172,-73.9489,998402.98054036,200592.94532061,POINT (-73.9489 40.7172)
2614,3753012,Active,342843,,,,Brooklyn,,,,,40.7147,-73.9525,997415.73513952,199657.08203486,POINT (-73.9525 40.7147)
7942,1453377,Active,105461,,,,Manhattan,,,,,40.7414,-73.9988,984573.13582477,209393.28631568,POINT (-73.9988 40.7414)
13373,1433468,Active,103182,,,,Manhattan,,,,,40.758,-73.9836,988786.11985286,215445.13871327,POINT (-73.9836 40.758)
8570,1433482,Active,102271,,,,Manhattan,,,,,40.761,-73.9848,988449.60510594,216523.49351193,POINT (-73.9848 40.761)
3643,3753006,Active,342871,,,,Brooklyn,,,,,40.719,-73.9461,999186.54885511,201240.16285819,POINT (-73.9461 40.719)
11804,2293066,Active,213463,,,,Bronx,,,,,40.8752,-73.8599,1023003.55305828,258167.9384381,POINT (-73.8599 40.8752)
8056,3753011,Active,342844,,,,Brooklyn,,,,,40.716,-73.9508,997889.06687002,200137.77136219,POINT (-73.9508 40.716)
8160,1323030,Active,107036,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,VARICK STREET,W,CHARLTON STREET,KING STREET,40.7276,-74.0056,982702.73470995,204360.90497626,POINT (-74.0056 40.7276)
10921,3163002,Active,307392,2 HR Pas Mon-Fri 1000-1600 /2 HR Pas Sat 0800-1900,,On Street,Brooklyn,NOSTRAND AVENUE,E,HAWTHORNE STREET,WINTHROP STREET,40.6575,-73.9502,998063.65083843,178835.91337544,POINT (-73.9502 40.6575)
14259,1113009,Active,104798,4HR Pas Mon-Sat 0800-1900,,On Street,Manhattan,WEST STREET,E,CHAMBERS STREET,HARRISON STREET,40.7184,-74.0124,980820.20337002,201024.8342206,POINT (-74.0124 40.7184)
12921,3303017,Active,311072,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,HART STREET,S,KNICKERBOCKER AVENUE,IRVING AVENUE,40.7017,-73.9229,1005622.36734827,194927.89169011,POINT (-73.9229 40.7017)
905,1433123,Inactive,106417,3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,,On Street,Manhattan,WEST 55 STREET,N,AVENUE OF THE AMERICAS,7 AVENUE,40.764,-73.9803,989708.54287678,217616.95359536,POINT (-73.9803 40.764)
10800,1453286,Active,106526,3HR Com Mon-Sat 0700-1900,,On Street,Manhattan,5 AVENUE,W,EAST 20 STREET,EAST 21 STREET,40.74,-73.9908,986792.01885419,208875.88610376,POINT (-73.9908 40.74)
3488,3153064,Active,311322,2 HR Pas 0800-1900 Mon-Thur/4Hr Pas 0800-1900 Fri,,On Street,Brooklyn,EAST 12 STREET,E,AVENUE J,CARY COURT,40.6246,-73.9641,994223.27662945,166848.17947693,POINT (-73.9641 40.6246)
7917,3283029,Active,338149,2 HR Pas Mon-Fri 0800-1600,,On Street,Brooklyn,LEE AVENUE,W,PENN STREET,RUTLEDGE STREET,40.7027,-73.9567,996256.84145994,195307.80169144,POINT (-73.9567 40.7027)
7773,3051312,Active,318258,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,KINGS HIGHWAY,N,EAST 9 STREET,EAST 10 STREET,40.6069,-73.9633,994427.24833436,160403.92235236,POINT (-73.9633 40.6069)
1477,2013088,Active,216459,2 HR Pas Mon-Sat 0900-1900,,On Street,Bronx,EAST 188 STREET,N,VALENTINE AVENUE,TIEBOUT AVENUE,40.8609,-73.8958,1013072.88623986,252951.43443544,POINT (-73.8958 40.8609)
14156,1223001,Active,109109,2 HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,WEST 161 STREET,N,BROADWAY,FT WASHINGTON AVENUE,40.8367,-73.9433,999928.78588769,244123.45110719,POINT (-73.9433 40.8367)
5343,3043049,Active,331491,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,FLATBUSH AVENUE,W,FOSTER AVENUE,EAST 26 STREET,40.6379,-73.9532,997248.69872819,171681.7334581,POINT (-73.9532 40.6379)
8281,3131534,Active,305237,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,WEST 10 STREET,E,BAY PARKWAY,AVENUE O,40.611,-73.9841,988674.65616502,161898.65230252,POINT (-73.9841 40.611)
879,1389697,Active,111326,2 HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,AMSTERDAM AVENUE,E,WEST 115 STREET,WEST 116 STREET,40.8064,-73.9612,994979.38830619,233063.23995994,POINT (-73.9612 40.8064)
2747,4413155,Active,405184,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,96 STREET,E,55 AVENUE,57 AVENUE,40.7371,-73.865,1021670.56097361,207863.22277477,POINT (-73.865 40.7371)
11300,1433354,Retired,106706,3HR Com Mon-Fri 1000-1600 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,,On Street,Manhattan,EAST 58 STREET,S,PARK AVENUE,LEXINGTON AVENUE,40.7619,-73.9694,992731.27009903,216844.18184693,POINT (-73.9694 40.7619)
6758,4152150,Active,422266,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,46 ROAD,N,5 STREET,VERNON BOULEVARD,40.7463,-73.9532,997204.00918503,211172.57311143,POINT (-73.9532 40.7463)
10833,1443664,Active,101982,3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,,On Street,Manhattan,BROADWAY,E,WEST 30 STREET,WEST 31 STREET,40.7472,-73.9883,987493.15196636,211509.89363103,POINT (-73.9883 40.7472)
10999,3863001,Active,342824,15HR Pas Mon-Sat 0800-2200,Canarsie,Off Street,Brooklyn,EAST 98 STREET,E,DEAD END,GLENWOOD ROAD,40.6464,-73.9022,1011397.69930153,174787.47232535,POINT (-73.9022 40.6464)
12897,1294840,Active,109238,2HR Pas Mon-Sat 0800-1900,,On Street,Manhattan,YORK AVENUE,E,EAST 81 STREET,EAST 82 STREET,40.7731,-73.9491,998351.11548661,220929.87347868,POINT (-73.9491 40.7731)
1502,3333068,Retired,322319,2HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,FLATBUSH AVENUE,W,AVENUE V,HENDRICKSON PLACE,40.6074,-73.9201,1006427.22105353,160566.84394252,POINT (-73.9201 40.6074)
7476,1353034,Inactive,105294,2HR Pas Mon-Fri 1000-1900 /2HR Pas Sat 0900-1900,,On Street,Manhattan,10 AVENUE,E,WEST 22 STREET,WEST 23 STREET,40.7473,-74.0043,983055.89476478,211548.4745906,POINT (-74.0043 40.7473)
11735,3733002,Retired,342825,2HR Com Mon-Sat 0700-1300 /2HR Pas Mon-Sat 1300-1900,,Off Street,Brooklyn,CATON AVENUE,N,EAST 21 STREET,FLATBUSH AVENUE,40.6531,-73.9598,995399.64763628,177218.10394701,POINT (-73.9598 40.6531)
3002,3403083,Active,337008,2 HR Pas Mon-Fri 1200-1600 /2 HR Pas Sat 0800-1900,,On Street,Brooklyn,NOSTRAND AVENUE,E,CARROLL STREET,CROWN STREET,40.6666,-73.9507,997914.76301286,182151.15379219,POINT (-73.9507 40.6666)
